Gene stable ID,Gene name
ENSGALG00000042750,ND1
ENSGALG00000043768,MT-ND2
ENSGALG00000032142,MT-CO1
ENSGALG00000032456,MT-CO2
ENSGALG00000032465,MT-ATP8
ENSGALG00000041091,ATP6
ENSGALG00000035334,COX3
ENSGALG00000030436,MT-ND3
ENSGALG00000042478,MT-ND4L
ENSGALG00000036229,MT-ND4
ENSGALG00000029500,ND5
ENSGALG00000032079,MT-CYB
ENSGALG00000037838,ND6
ENSGALG00000035842,SLC37A2
ENSGALG00000030244,faf
ENSGALG00000040619,BAAT
ENSGALG00000033957,SPATS2
ENSGALG00000002870,LEMD2
ENSGALG00000046048,S1PR2
ENSGALG00000002550,TSHB
ENSGALG00000002881,C26H6ORF125
ENSGALG00000039526,BKJ
ENSGALG00000001264,PLXNA2
ENSGALG00000032854,ACP5
ENSGALG00000029624,DHRS4
ENSGALG00000035763,BKJ
ENSGALG00000015815,RMND5A
ENSGALG00000036642,rad9
ENSGALG00000039571,PRPH
ENSGALG00000038789,CLIC3
ENSGALG00000005551,DKK3
ENSGALG00000003467,BYSL
ENSGALG00000012159,ACTR3
ENSGALG00000046347,FOXRED1
ENSGALG00000011998,SEC24D
ENSGALG00000009361,GUCY1B3
ENSGALG00000015594,TRMT44
ENSGALG00000009071,HMGB3
ENSGALG00000030759,SRPRA
ENSGALG00000030351,ILF3
ENSGALG00000041054,FHDC1
ENSGALG00000020260,PGRMC1
ENSGALG00000031416,UBN1
ENSGALG00000028967,DNAJC27
ENSGALG00000043433,SCX
ENSGALG00000037995,STRIP1
ENSGALG00000005610,SLC44A3
ENSGALG00000001616,CDC45
ENSGALG00000002303,LRIT1
ENSGALG00000009565,EIF2S1
ENSGALG00000009880,INPP4B
ENSGALG00000011875,TRPC3
ENSGALG00000005826,DLEC1
ENSGALG00000001306,NFRKB
ENSGALG00000010402,HPGDS
ENSGALG00000015812,SMIM8
ENSGALG00000021272,SCN2B
ENSGALG00000007406,TMPRSS4
ENSGALG00000006192,USH1C
ENSGALG00000016444,ODC1
ENSGALG00000027922,ETAA1
ENSGALG00000007952,AMOT
ENSGALG00000010485,ALKBH1
ENSGALG00000010886,PAQR3
ENSGALG00000015013,MSX1
ENSGALG00000038541,VPS37C
ENSGALG00000013427,SORBS2
ENSGALG00000038413,SURF6
ENSGALG00000032937,DLGAP2
ENSGALG00000003547,SKP2
ENSGALG00000014425,NCAPG
ENSGALG00000005102,CDH4
ENSGALG00000009573,ANXA10
ENSGALG00000011484,CMTM8
ENSGALG00000009219,C1ORF95
ENSGALG00000033212,HSP90AA1
ENSGALG00000010582,PPA2
ENSGALG00000009432,C4orf46
ENSGALG00000008179,NT5C2
ENSGALG00000009410,PEX1
ENSGALG00000010806,RIN3
ENSGALG00000007140,NRP1
ENSGALG00000042000,C18orf32
ENSGALG00000003712,RAPGEF1
