 gene_ID gene_ID_1 gene_name gene_family
1 ENSMUSG00000029313 17355 Aff1 AF-4
2 ENSMUSG00000031189 14266 Aff2 AF-4
3 ENSMUSG00000037138 16764 Aff3 AF-4
4 ENSMUSG00000049470 93736 Aff4 AF-4
5 ENSMUSG00000046532 11835 Ar Androgen_receptor
6 ENSMUSG00000021359 21418 Tcfap2a AP-2
7 ENSMUSG00000025927 21419 Tcfap2b AP-2
8 ENSMUSG00000028640 21420 Tcfap2c AP-2
9 ENSMUSG00000042477 332937 Tcfap2e AP-2
10 ENSMUSG00000042596 226896 Tcfap2d AP-2
11 ENSMUSG00000004661 56380 Arid3b ARID
12 ENSMUSG00000019564 13496 Arid3a ARID
13 ENSMUSG00000019947 71371 Arid5b ARID
14 ENSMUSG00000025332 20591 Kdm5c ARID
15 ENSMUSG00000030180 214899 Kdm5a ARID
16 ENSMUSG00000033237 77044 Arid2 ARID
17 ENSMUSG00000037447 214855 Arid5a ARID
18 ENSMUSG00000038518 16468 Jarid2 ARID
19 ENSMUSG00000039219 94246 Arid4b ARID
20 ENSMUSG00000042207 75605 Kdm5b ARID
21 ENSMUSG00000048118 238247 Arid4a ARID
22 ENSMUSG00000056673 20592 Kdm5d ARID
23 ENSMUSG00000066224 550619 Arid3c ARID
24 ENSMUSG00000069729 239985 Arid1b ARID
25 ENSMUSG00000007880 93760 Arid1a ARID
26 ENSMUSG00000001988 18142 Npas1 bHLH
27 ENSMUSG00000021010 27386 Npas3 bHLH
28 ENSMUSG00000021109 15251 Hif1a bHLH
29 ENSMUSG00000062713 20465 Sim2 bHLH
30 ENSMUSG00000000134 209446 Tcfe3 bHLH
31 ENSMUSG00000000282 17428 Mnt bHLH
32 ENSMUSG00000000435 17877 Myf5 bHLH
33 ENSMUSG00000001156 17119 Mxd1 bHLH
34 ENSMUSG00000005373 58805 Mlxipl bHLH
35 ENSMUSG00000005718 83383 Tcfap4 bHLH
36 ENSMUSG00000006642 69852 Tcf23 bHLH
37 ENSMUSG00000007805 13345 Twist2 bHLH
38 ENSMUSG00000007872 15903 Id3 bHLH
39 ENSMUSG00000009248 17173 Ascl2 bHLH
40 ENSMUSG00000009471 17927 Myod1 bHLH
41 ENSMUSG00000015522 11863 Arnt bHLH
42 ENSMUSG00000015709 11864 Arnt2 bHLH
43 ENSMUSG00000017801 21428 Mlx bHLH
44 ENSMUSG00000019256 11622 Ahr bHLH
45 ENSMUSG00000019789 15214 Hey2 bHLH
46 ENSMUSG00000019913 20464 Sim1 bHLH
47 ENSMUSG00000020052 17172 Ascl1 bHLH
48 ENSMUSG00000020167 21423 Tcf3 bHLH
49 ENSMUSG00000020538 20787 Srebf1 bHLH
50 ENSMUSG00000020644 15902 Id2 bHLH
51 ENSMUSG00000021379 15904 Id4 bHLH
52 ENSMUSG00000021485 17121 Mxd3 bHLH
53 ENSMUSG00000021575 11624 Ahrr bHLH
54 ENSMUSG00000022346 17869 Myc bHLH
55 ENSMUSG00000022463 20788 Srebf2 bHLH
56 ENSMUSG00000022528 15205 Hes1 bHLH
57 ENSMUSG00000023781 84653 Hes7 bHLH
58 ENSMUSG00000023990 21425 Tcfeb bHLH
59 ENSMUSG00000025025 17859 Mxi1 bHLH
60 ENSMUSG00000025128 59058 Bhlhe22 bHLH
61 ENSMUSG00000025930 17681 Msc bHLH
62 ENSMUSG00000026077 18143 Npas2 bHLH
63 ENSMUSG00000026459 17928 Myog bHLH
64 ENSMUSG00000026641 22278 Usf1 bHLH
65 ENSMUSG00000026735 19213 Ptf1a bHLH
66 ENSMUSG00000027794 74434 Sohlh2 bHLH
67 ENSMUSG00000027967 11924 Neurog2 bHLH
68 ENSMUSG00000028417 21350 Tal2 bHLH
69 ENSMUSG00000028654 16918 Mycl1 bHLH
70 ENSMUSG00000028717 21349 Tal1 bHLH
71 ENSMUSG00000028940 15206 Hes2 bHLH
72 ENSMUSG00000028946 15207 Hes3 bHLH
73 ENSMUSG00000029238 12753 Clock bHLH
74 ENSMUSG00000029553 21426 Tcfec bHLH
75 ENSMUSG00000030001 26910 Figla bHLH
76 ENSMUSG00000030103 20893 Bhlhe40 bHLH
77 ENSMUSG00000030256 79362 Bhlhe41 bHLH
78 ENSMUSG00000030543 17293 Mesp2 bHLH
79 ENSMUSG00000030544 17292 Mesp1 bHLH
80 ENSMUSG00000032228 21406 Tcf12 bHLH
81 ENSMUSG00000032744 56198 Heyl bHLH
82 ENSMUSG00000034041 17095 Lyl1 bHLH
83 ENSMUSG00000034161 20289 Scx bHLH
84 ENSMUSG00000034701 18012 Neurod1 bHLH
85 ENSMUSG00000035158 17342 Mitf bHLH
86 ENSMUSG00000035799 22160 Twist1 bHLH
87 ENSMUSG00000035923 17878 Myf6 bHLH
88 ENSMUSG00000035951 56787 Ascl3 bHLH
89 ENSMUSG00000036816 53404 Atoh7 bHLH
90 ENSMUSG00000037169 18109 Mycn bHLH
91 ENSMUSG00000037235 17122 Mxd4 bHLH
92 ENSMUSG00000037335 15110 Hand1 bHLH
93 ENSMUSG00000037621 71093 Atoh8 bHLH
94 ENSMUSG00000037984 11922 Neurod6 bHLH
95 ENSMUSG00000038193 15111 Hand2 bHLH
96 ENSMUSG00000038255 18013 Neurod2 bHLH
97 ENSMUSG00000038342 208104 Mlxip bHLH
98 ENSMUSG00000038932 277353 Tcfl5 bHLH
99 ENSMUSG00000039830 50913 Olig2 bHLH
100 ENSMUSG00000040187 272322 Arntl2 bHLH
101 ENSMUSG00000040289 15213 Hey1 bHLH
102 ENSMUSG00000042745 15901 Id1 bHLH
103 ENSMUSG00000044243 320522 Bhlha9 bHLH
104 ENSMUSG00000044312 11925 Neurog3 bHLH
105 ENSMUSG00000044597 17870 Mycs bHLH
106 ENSMUSG00000045493 140489 Bhlhe23 bHLH
107 ENSMUSG00000045591 94222 Olig3 bHLH
108 ENSMUSG00000045680 21412 Tcf21 bHLH
109 ENSMUSG00000046160 50914 Olig1 bHLH
110 ENSMUSG00000046518 114712 Ferd3l bHLH
111 ENSMUSG00000047002 56184 Msgn1 bHLH
112 ENSMUSG00000047171 234219 Helt bHLH
113 ENSMUSG00000048001 15208 Hes5 bHLH
114 ENSMUSG00000048015 11923 Neurod4 bHLH
115 ENSMUSG00000048540 18072 Nhlh2 bHLH
116 ENSMUSG00000048904 18014 Neurog1 bHLH
117 ENSMUSG00000051251 18071 Nhlh1 bHLH
118 ENSMUSG00000052271 17341 Bhlha15 bHLH
119 ENSMUSG00000053477 21413 Tcf4 bHLH
120 ENSMUSG00000055116 11865 Arntl bHLH
121 ENSMUSG00000059436 17187 Max bHLH
122 ENSMUSG00000067071 55927 Hes6 bHLH
123 ENSMUSG00000068079 21407 Tcf15 bHLH
124 ENSMUSG00000068284 207806 Gm608 bHLH
125 ENSMUSG00000073043 11921 Atoh1 bHLH
126 ENSMUSG00000003949 217082 Hlf C/EBP
127 ENSMUSG00000020484 22433 Xbp1 C/EBP
128 ENSMUSG00000025408 13198 Ddit3 C/EBP
129 ENSMUSG00000034957 12606 Cebpa C/EBP
130 ENSMUSG00000052414 223922 Atf7 C/EBP
131 ENSMUSG00000052435 110794 Cebpe C/EBP
132 ENSMUSG00000053007 231991 Creb5 C/EBP
133 ENSMUSG00000056216 12611 Cebpg C/EBP
134 ENSMUSG00000056501 12608 Cebpb C/EBP
135 ENSMUSG00000031885 12400 Cbfb CBF
136 ENSMUSG00000014592 100072 Camta1 CG-1
137 ENSMUSG00000040712 216874 Camta2 CG-1
138 ENSMUSG00000010476 13593 Ebf3 COE
139 ENSMUSG00000022053 13592 Ebf2 COE
140 ENSMUSG00000053552 228598 Ebf4 COE
141 ENSMUSG00000057098 13591 Ebf1 COE
142 ENSMUSG00000002393 13864 Nr2f6 COUP
143 ENSMUSG00000030551 11819 Nr2f2 COUP
144 ENSMUSG00000069171 13865 Nr2f1 COUP
145 ENSMUSG00000009733 21422 Tcfcp2 CP2
146 ENSMUSG00000009741 22221 Ubp1 CP2
147 ENSMUSG00000020656 195733 Grhl1 CP2
148 ENSMUSG00000022286 252973 Grhl2 CP2
149 ENSMUSG00000026380 81879 Tcfcp2l1 CP2
150 ENSMUSG00000037188 230824 Grhl3 CP2
151 ENSMUSG00000008393 52502 Carhsp1 CSD
152 ENSMUSG00000018554 53422 Ybx2 CSD
153 ENSMUSG00000028639 22608 Ybx1 CSD
154 ENSMUSG00000030189 56449 Csda CSD
155 ENSMUSG00000042109 105859 Csdc2 CSD
